fighter,opp_fighter,title_bout,weight_class,stance,opp_stance,male,diff_reach_cms,diff_height_cms,diff_weight_lbs,diff_age,diff_wins,diff_losses,diff_avg_sig_str_landed,diff_avg_sig_str_pct,diff_avg_sub_att,diff_avg_td_landed,diff_avg_td_pct,winner
Cole Escovedo,Alex Caceres,False,Bantamweight,Orthodox,Southpaw,1,-2.539999999999992,-7.6200000000000045,-10,7,0,0,21.5,0.09999999999999998,0.0,0.0,0.0,0
Mike Pierce,Paul Bradley,False,Welterweight,Orthodox,Orthodox,1,-5.199999999999989,-2.539999999999992,0,3,4,1,21.5,0.285,0.5,0.3333333330000001,0.25833333300000005,1
Paul Bradley,Mike Pierce,False,Welterweight,Orthodox,Orthodox,1,5.199999999999989,2.539999999999992,0,-3,-4,-1,-21.5,-0.285,-0.5,-0.3333333330000001,-0.25833333300000005,0
Aaron Rosa,Matt Lucas,False,Light Heavyweight,Orthodox,Orthodox,1,13.120000000000005,7.6200000000000045,0,-10,0,1,73.0,0.4,0.0,0.0,0.0,1
Matt Lucas,Aaron Rosa,False,Light Heavyweight,Orthodox,Orthodox,1,-13.120000000000005,-7.6200000000000045,0,10,0,-1,-73.0,-0.4,0.0,0.0,0.0,0
Chris Leben,Mark Munoz,False,Middleweight,Southpaw,Orthodox,1,5.0800000000000125,-2.539999999999992,0,-2,6,4,-4.3888888900000005,-0.012916666999999993,0.069444444,-0.291666667,0.11375000000000002,0
Mark Munoz,Chris Leben,False,Middleweight,Orthodox,Southpaw,1,-5.0800000000000125,2.539999999999992,0,2,-6,-4,4.3888888900000005,0.012916666999999993,-0.069444444,0.291666667,-0.11375000000000002,1
Brad Pickett,Renan Barao,False,Bantamweight,Orthodox,Orthodox,1,-5.0800000000000125,0.0,0,9,-1,0,-46.0,-0.52,0.0,-6.0,-0.85,0
Renan Barao,Brad Pickett,False,Bantamweight,Orthodox,Orthodox,1,5.0800000000000125,0.0,0,-9,1,0,46.0,0.52,0.0,6.0,0.85,1
Thiago Alves,Papy Abedi,False,Welterweight,Orthodox,Southpaw,1,-10.159999999999997,-5.0800000000000125,-15,-5,10,5,32.53333333,0.464666667,0.266666667,0.6,0.355333333,1
Papy Abedi,Thiago Alves,False,Welterweight,Southpaw,Orthodox,1,10.159999999999997,5.0800000000000125,15,5,-10,-5,-32.53333333,-0.464666667,-0.266666667,-0.6,-0.355333333,0
Cyrille Diabate,Anthony Perosh,False,Light Heavyweight,Southpaw,Orthodox,1,15.240000000000009,7.6200000000000045,0,-1,1,-2,40.0,0.226666667,-0.25,-0.666666667,0.203333333,0
Anthony Perosh,Cyrille Diabate,False,Light Heavyweight,Orthodox,Southpaw,1,-15.240000000000009,-7.6200000000000045,0,1,-1,2,-40.0,-0.226666667,0.25,0.666666667,-0.203333333,1
Terry Etim,Edward Faaloloto,False,Lightweight,Orthodox,Southpaw,1,7.619999999999976,0.0,0,-2,5,2,6.125,0.036250000000000004,1.125,0.125,0.125,1
Edward Faaloloto,Terry Etim,False,Lightweight,Southpaw,Orthodox,1,-7.619999999999976,0.0,0,2,-5,-2,-6.125,-0.036250000000000004,-1.125,-0.125,-0.125,0
John Maguire,Justin Edwards,False,Welterweight,Southpaw,Orthodox,1,-2.5400000000000205,-2.5400000000000205,0,0,-1,-1,-41.5,-0.51,-1.0,-4.5,-0.25,1
Justin Edwards,John Maguire,False,Welterweight,Orthodox,Southpaw,1,2.5400000000000205,2.5400000000000205,0,0,1,1,41.5,0.51,1.0,4.5,0.25,0
Rob Broughton,Philip De Fries,False,Heavyweight,Orthodox,Orthodox,1,-20.319999999999993,-7.6200000000000045,15,3,1,1,44.5,0.525,3.5,0.0,0.0,0
